w1,w2,F1,F2,F1+F2
0.0,1.0,0.9922197129991319,5.9341010199652775,6.92632073296441
0.02,0.98,0.9754758029513889,5.899723849826389,6.875199652777778
0.04,0.96,0.9754758029513889,5.899723849826389,6.875199652777778
0.06,0.94,0.9754758029513889,5.899723849826389,6.875199652777778
0.08,0.92,0.9754758029513889,5.922358940972222,6.897834743923611
0.1,0.9,0.9754758029513889,5.922358940972222,6.897834743923611
0.12,0.88,0.9754758029513889,5.922358940972222,6.897834743923611
0.14,0.86,0.9754758029513889,5.922358940972222,6.897834743923611
0.16,0.84,0.9595371500651042,5.922132703993055,6.88166985405816
0.18,0.82,1.3614340549045139,6.293795572916666,7.65522962782118
0.2,0.8,0.9745860460069444,5.921469184027778,6.896055230034722
0.22,0.78,0.9745860460069444,5.918771158854167,6.893357204861111
0.24,0.76,0.9745860460069444,5.918771158854167,6.893357204861111
0.26,0.74,0.9745860460069444,5.918771158854167,6.893357204861111
0.28,0.72,0.9745860460069444,5.918771158854167,6.893357204861111
0.3,0.7,1.7010563151041667,6.385142686631944,8.08619900173611
0.32,0.68,1.7010563151041667,6.385142686631944,8.08619900173611
0.34,0.66,1.7010563151041667,6.385142686631944,8.08619900173611
0.36,0.64,1.9403302680121528,7.011464301215278,8.951794569227431
0.38,0.62,1.9403302680121528,7.01146484375,8.951795111762152
0.4,0.6,1.9403302680121528,7.01146484375,8.951795111762152
0.42,0.58,1.9403302680121528,7.01146484375,8.951795111762152
0.44,0.56,1.9403302680121528,7.011464301215278,8.951794569227431
0.46,0.54,1.9403302680121528,7.011464301215278,8.951794569227431
0.48,0.52,1.9403302680121528,7.011464301215278,8.951794569227431
0.5,0.5,1.7481641981336806,6.300649956597222,8.048814154730902
0.52,0.48,1.7481641981336806,6.300649956597222,8.048814154730902
0.54,0.46,1.7481641981336806,6.300649956597222,8.048814154730902
0.56,0.44,1.7481641981336806,6.300649956597222,8.048814154730902
0.58,0.42,1.7481641981336806,6.300649956597222,8.048814154730902
0.6,0.4,1.7481641981336806,6.300649956597222,8.048814154730902
0.62,0.38,1.7481641981336806,6.300649956597222,8.048814154730902
0.64,0.36,1.7815234375,7.130360785590278,8.911884223090278
0.66,0.34,1.7815234375,7.130360785590278,8.911884223090278
0.68,0.32,1.7815234375,7.130360785590278,8.911884223090278
0.7,0.3,1.7815234375,7.130360785590278,8.911884223090278
0.72,0.28,1.7815234375,7.130360785590278,8.911884223090278
0.74,0.26,1.7815234375,7.130360785590278,8.911884223090278
0.76,0.24,1.7815234375,7.130360785590278,8.911884223090278
0.78,0.22,1.7815234375,7.130360785590278,8.911884223090278
0.8,0.2,1.7815234375,7.130360785590278,8.911884223090278
0.82,0.18,1.7815234375,7.130360785590278,8.911884223090278
0.84,0.16,1.7815234375,7.130360785590278,8.911884223090278
0.86,0.14,1.7815234375,7.130360785590278,8.911884223090278
0.88,0.12,1.7815234375,7.130360785590278,8.911884223090278
0.9,0.1,1.1827829318576388,4.954330512152778,6.137113444010416
0.92,0.08,1.1827829318576388,4.954330512152778,6.137113444010416
0.94,0.06,1.1827829318576388,4.954330512152778,6.137113444010416
0.96,0.04,1.1827829318576388,4.954330512152778,6.137113444010416
0.98,0.02,1.1827829318576388,4.954330512152778,6.137113444010416
1.0,0.0,1.1827829318576388,4.954330512152778,6.137113444010416
